name,net_profit
Hitman Sniper,464800
H*nest Meditation,459400
Where's My Water?,449800
"sugar, sugar",443600
Fruit Ninja Classic,440500
AJ Jump: Animal Jam Kangaroos!,435400
Five Nights at Freddy's 3,429800
Riptide GP: Renegade,429800
Tsuro - The Game of the Path,429800
Bloons TD 5,425000
Five Nights at Freddy's,425000
Five Nights at Freddy's 2,425000
Hitman GO,424900
"Alizay, pirate girl",420200
Threema,420200
Toca Life: City,419800
Pocket Yoga,415400
The Game of Life,415400
My Talking Pet,415000
True Skate,411400
Retro City Rampage DX,409800
DRAGON QUEST,405800
Out There Chronicles - Ep. 1,401400
Toca Builders,395800
Dr. Panda & Toto's Treehouse,395400
Dr. Panda Hospital,391400
Sago Mini Babies,386200
Farming Simulator 16,385800
Battleheart Legacy,385000
Dr. Panda Supermarket,381800
Dr. Panda Farm,377000
F-Sim Space Shuttle,375400
The EO Bar,373800
Paprika Recipe Manager,361000
Don't Starve: Pocket Edition,351400
LEGO® Friends,351400
"Please, Don't Touch Anything",351400
NBA JAM by EA SPORTS™,346600
LEGO Batman: DC Super Heroes,341800
RollerCoaster Tycoon® Classic,341000
My Movies Pro - Movie & TV Collection Library,325000
Grand Theft Auto: San Andreas,311400
Baldur's Gate: Enhanced Edition,256200
FINAL FANTASY V,250200
XCOM®: Enemy Within,241800
"Muscle Premium - Human Anatomy, Kinesiology, Bones",15800
