name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
PewDiePie's Tuber Simulator,4.8,Google,0,Family,11.6,"$318,000.00 ","$73,600.00 ","$244,400.00 ","$498,400.00 "
PewDiePie's Tuber Simulator,5,Apple,0,Games,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$498,400.00 "
ASOS,4.7,Google,0,Shopping,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$493,600.00 "
ASOS,5,Apple,0,Shopping,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$493,600.00 "
Domino's Pizza USA,4.7,Google,0,Food & Drink,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$493,600.00 "
Domino's Pizza USA,5,Apple,0,Food & Drink,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$493,600.00 "
"Egg, Inc.",4.7,Google,0,Family,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$493,600.00 "
"Egg, Inc.",5,Apple,0,Games,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$493,600.00 "
The Guardian,4.7,Google,0,News And Magazines,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$493,600.00 "
The Guardian,5,Apple,0,News,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$493,600.00 "
Geometry Dash Lite,4.5,Google,0,Games,11,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$484,000.00 "
Geometry Dash Lite,5,Apple,0,Games,11,"$330,000.00 ","$76,000.00 ","$254,000.00 ","$484,000.00 "
Cytus,4.7,Google,0,Games,11.4,"$312,000.00 ","$72,400.00 ","$239,600.00 ","$483,700.00 "
Cytus,5,Apple,1.99,Games,11,"$330,000.00 ","$85,900.00 ","$244,100.00 ","$483,700.00 "
Fernanfloo,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$474,400.00 "
Fernanfloo,4.8,Google,0,Games,11.6,"$318,000.00 ","$73,600.00 ","$244,400.00 ","$474,400.00 "
