Row Labels,Lifetime Cost,Lifetime Profit
Hitman Sniper,"$141,200.00","$464,800.00"
H*nest Meditation,"$164,600.00","$459,400.00"
Where's My Water?,"$162,200.00","$449,800.00"
"sugar, sugar","$138,400.00","$443,600.00"
Fruit Ninja Classic,"$147,500.00","$440,500.00"
AJ Jump: Animal Jam Kangaroos!,"$158,600.00","$435,400.00"
Tsuro - The Game of the Path,"$182,200.00","$429,800.00"
Riptide GP: Renegade,"$182,200.00","$429,800.00"
Five Nights at Freddy's 3,"$182,200.00","$429,800.00"
Bloons TD 5,"$181,000.00","$425,000.00"
Grand Total,"$1,640,100.00","$4,407,900.00"
,,
,,
